,palma,pure-40,pure-42,pure-45,palma_clean,pure_clean,palma_re-ordered,pure_re-ordered,palma_froz_frac,pure_froz_frac
0,-27.65536621356607,-28.626554515503706,-32.34449438177295,-30.618518950701134,-27.65536621356607,-28.626554515503706,-10.924266410001641,-18.64444965632539,0.0005490365834594719,0.0008533139679326447
1,-20.96863249030886,-30.779630556425218,-21.357549332598666,-30.56814769890301,-20.96863249030886,-30.779630556425218,-12.72933586995113,-19.588153125991376,0.0012795131157452289,0.0017930102498618075
2,-26.8554804304785,-27.961336810773194,-26.539881288881734,-27.39986082935779,-26.8554804304785,-27.961336810773194,-12.81649072637274,-19.588153125991376,0.0019324104748778194,0.002689515374792711
3,-21.074803045541817,-27.457388449869086,-32.11328840980662,-29.77676081351709,-21.074803045541817,-27.457388449869086,-12.993041685986357,-19.588153125991376,0.00261204000279205,0.003586020499723615
4,-29.531613906659654,-33.415776740309184,-28.804746461821765,-35.9674870529259,-29.531613906659654,-33.415776740309184,-12.993041685986357,-19.71624518045118,0.003265050003490063,0.004511838031635289
5,-27.383110052285264,-31.32210704404277,-22.090223520492,-27.058392731259612,-27.383110052285264,-31.32210704404277,-12.993041685986357,-21.357549332598666,0.003918060004188075,0.00586491813990358
6,-24.293849635764364,-39.189137136805314,-29.709663041192535,-27.39986082935779,-24.293849635764364,-39.189137136805314,-12.993041685986357,-21.84513522014999,0.004571070004886088,0.00699861436021795
7,-23.96346745128876,-32.77977060368401,-29.564170178121078,-32.977257870263706,-23.96346745128876,-32.77977060368401,-15.990120366533471,-22.090223520492,0.006429107988146134,0.008088153475056304
8,-24.403977030589566,-24.15903493142817,-28.804746461821765,-29.77676081351709,-24.403977030589566,-24.15903493142817,-16.800720676333025,-22.32211760312779,0.0075994020469979245,0.009194692032279806
9,-22.191802563236873,-32.7920777071454,-24.994104280709116,-30.141311967260332,-22.191802563236873,-32.7920777071454,-16.87060473006962,-22.443991229338764,0.008478902687151913,0.010272103261388051
10,-20.992389998572392,-37.2154333536287,-31.836650802084588,-31.69810210385231,-20.992389998572392,-37.2154333536287,-17.580643978399948,-22.523037779477715,0.009719333067242777,0.011339109172407706
11,-24.487557096736683,-28.191716862499167,-29.564170178121078,-31.50950635778581,-24.487557096736683,-28.191716862499167,-17.63725019812981,-22.585177389923075,0.010637048083926723,0.012404065139151715
12,-28.104048536010623,-32.7920777071454,-31.829357349192065,-29.563023475020856,-28.104048536010623,-32.7920777071454,-17.706766300417097,-22.622228316233375,0.011568887778344939,0.013459781807981927
13,-25.84256983023086,-30.989127500240826,-32.34449438177295,-27.111481439112563,-25.84256983023086,-30.989127500240826,-18.181280668210672,-22.707649770255696,0.012792679146486399,0.014549883273079616
14,-27.292357998524995,-31.26930160523751,-31.63457643281529,-28.82771313743145,-27.292357998524995,-31.26930160523751,-18.259194406348183,-22.74439383486509,0.013765179286188154,0.015614386031126729
15,-20.96863249030886,-28.191716862499167,-31.746417902320488,-31.2863109192468,-20.96863249030886,-28.191716862499167,-18.372500661052317,-22.895040519688518,0.014773971434187369,0.016765661186641467
16,-24.77879724380505,-30.778965254362642,-34.529820575158276,-31.021421943803187,-24.77879724380505,-30.778965254362642,-18.40587332443032,-23.057548955468015,0.015725858034593296,0.01793995490322131
17,-26.15814178763599,-24.15521655523824,-31.983496417239465,-30.566205897361137,-26.15814178763599,-24.15521655523824,-18.90768861212149,-23.19511163571691,0.017104876667030807,0.019108573114486507
18,-24.59189678880421,-35.08667262673926,-29.98977543763507,-28.1952491535814,-24.59189678880421,-35.08667262673926,-19.126594020027568,-23.432171066301,0.018264182633151636,0.020376304236928038
19,-24.872383095118238,-35.56017197373795,-30.272488993678106,-34.56217736713347,-24.872383095118238,-35.56017197373795,-19.250625388996447,-23.451941668767795,0.019350127864615468,0.021466838410338245
20,-22.915037553682776,-27.81736470987029,-22.443991229338764,-22.32211760312779,-22.915037553682776,-27.81736470987029,-19.420389964141048,-23.494463533765998,0.020496808413388124,0.022581049036679214
21,-25.273952687341,-33.19024995039226,-28.888526037516247,-28.1952491535814,-25.273952687341,-33.19024995039226,-19.68933309383382,-23.679819238060304,0.021770213474088373,0.023842969865095386
22,-24.6802359004651,-27.774230753004247,-32.120000717921755,-29.522738809003766,-24.6802359004651,-27.774230753004247,-19.811797412519155,-23.809864620903692,0.022901330539947813,0.025063634480641188
23,-24.636066344634656,-28.84419592239431,-31.710487815874902,-28.102019703632465,-24.636066344634656,-28.84419592239431,-19.90033248369754,-23.986927878086394,0.024003831792063085,0.026347848480541093
24,-27.152109641612,-29.960738703855434,-33.217999921998704,-26.456314155285003,-27.152109641612,-29.960738703855434,-20.019940971360782,-24.06843265838301,0.025154274848865055,0.02753893270144968
25,-26.49959334184053,-33.77178647877492,-33.36313801575586,-27.704121549156522,-26.49959334184053,-33.77178647877492,-20.302788685161378,-24.12086456704048,0.0265300484460057,0.028702881922491694
26,-24.703120187635996,-35.2192015243961,-34.68515488701866,-24.70348931710202,-24.703120187635996,-35.2192015243961,-20.30747785116489,-24.15521655523824,0.02755679801918905,0.029849288649118334
27,-25.249582785138998,-35.343262150517546,-30.756311649456553,-29.040049991083155,-25.249582785138998,-35.343262150517546,-20.325016570605996,-24.15903493142817,0.0286021012908516,0.03095971109286443
28,-27.672387465285862,-35.08667262673926,-29.424348325549026,-29.883190577127124,-27.672387465285862,-35.08667262673926,-20.60504566474429,-24.165244154666937,0.030031745842426905,0.03207365633835384
29,-26.15814178763599,-27.586839214365522,-34.83561293839281,-30.30533912527179,-26.15814178763599,-27.586839214365522,-20.707283414958415,-24.24966927846611,0.031221472579065504,0.03329556285300493
30,-18.90768861212149,-28.619945219397117,-28.345239955006765,-26.456314155285003,-18.90768861212149,-28.619945219397117,-20.897288112121455,-24.254592240874757,0.0325582178591355,0.034412399643957994
31,-26.50346356213806,-37.790164537710005,-31.08127892800186,,-26.50346356213806,-37.790164537710005,-20.96863249030886,-24.577185318110374,0.03372322397925036,0.03599493624921905
32,-24.903441194105948,-30.976749964354106,-29.085905314088862,,-24.903441194105948,-30.976749964354106,-20.96863249030886,-24.581893994579016,0.034777074728601934,0.03712688968488891
33,-25.92071106645133,-19.588153125991376,-27.73586692120214,,-25.92071106645133,-19.588153125991376,-20.992389998572392,-24.70348931710202,0.035871521997947166,0.03844116173466228
34,-19.420389964141048,-36.683660415708005,-19.71624518045118,,-19.420389964141048,-36.683660415708005,-21.0481970487952,-24.864529799877918,0.037024733896778725,0.03982975009396576
35,-26.406693696364474,-36.32328621208915,-30.045521114654306,,-26.406693696364474,-36.32328621208915,-21.066457882919234,-24.950266706432885,0.038115622833721025,0.04110900633490963
36,-20.707283414958415,-23.057548955468015,-29.694657079136555,,-20.707283414958415,-23.057548955468015,-21.074803045541817,-24.994104280709116,0.03918990848416531,0.04232515797450542
37,-28.805870443734676,-29.92303601357619,-28.09160287566376,,-28.805870443734676,-29.92303601357619,-21.104478245353487,-25.063242373278495,0.04030576951096452,0.04358932429408961
38,-25.284388452368912,-35.103118928291416,-26.33409048135249,,-25.284388452368912,-35.103118928291416,-21.22736423730694,-25.186728718841405,0.04160731392592083,0.04495682763079141
39,-28.805870443734676,-34.5749969117,-27.696572474882952,,-28.805870443734676,-34.5749969117,-21.22736423730694,-25.194423671642355,0.04267416812914958,0.046123654018892506
40,-26.406693696364474,-37.412101815708,-32.17953309635723,,-26.406693696364474,-37.412101815708,-21.541725804778974,-25.22793364297864,0.04438879452818722,0.047339626044979696
41,-22.595610613699733,-19.588153125991376,-32.26148964070487,,-22.595610613699733,-19.588153125991376,-21.69706314607042,-25.497497388692636,0.04579934257338271,0.04901241843800281
42,-22.37840483359877,-31.660490281611402,-26.478344066336568,,-22.37840483359877,-31.660490281611402,-21.760052344506033,-25.517806630466737,0.04702592988030012,0.050219349613247956
43,-25.87951757226571,-33.86197369242122,-33.929305441631655,,-25.87951757226571,-33.86197369242122,-21.883996488907755,-25.61602099161502,0.04839364268553355,0.05158502355330964
44,-27.92875109329737,-19.588153125991376,-22.707649770255696,,-27.92875109329737,-19.588153125991376,-21.9670244852855,-25.65632247050021,0.049681276790433535,0.05284041325990839
45,-20.897288112121455,-30.111784095607458,-27.21948398263603,,-20.897288112121455,-30.111784095607458,-22.002754121861905,-25.662254995772464,0.050867908089505004,0.05402713450108121
46,-25.87951757226571,-29.1864531669765,-27.50655087780112,,-25.87951757226571,-29.1864531669765,-22.072258902694568,-25.691298843990104,0.0521379126643641,0.05526411314973492
47,-27.04658388143097,-27.159835262982792,-32.04185844532768,,-27.04658388143097,-27.159835262982792,-22.144401626291263,-25.752441688931,0.05342126742945956,0.056574267040157056
48,-26.16995337713504,-27.917996074530596,-28.622404971081938,,-26.16995337713504,-27.917996074530596,-22.18594072323983,-25.888789920137086,0.05463650732044775,0.05805867464515753
49,-25.269630169296477,-37.47874369410473,-26.357767989486973,,-25.269630169296477,-37.47874369410473,-22.191802563236873,-26.077052260533563,0.05576626842865916,0.05967436246870812
50,-23.248554548077944,-27.917996074530596,-25.65632247050021,,-23.248554548077944,-27.917996074530596,-22.20237361925571,-26.137452751480478,0.05690868932103028,0.06100883375144327
51,-25.647985320448363,-27.648362971860017,12.46235164575362,,-25.647985320448363,-27.648362971860017,-22.25998744476266,-26.262804175045055,0.05817511618476839,0.06250341193987559
52,-27.629709455373483,-29.377477326714832,-31.610721559703357,,-27.629709455373483,-29.377477326714832,-22.33437120048919,-26.290409306339402,0.05949200422826465,0.06377236210006353
53,-23.417435778759728,-34.052896805043225,-18.64444965632539,,-23.417435778759728,-34.052896805043225,-22.36267248502195,-26.295392665734973,0.06069130330763128,0.06498793037326103
54,-23.03532456742176,-30.140741118152228,-30.371442903000652,,-23.03532456742176,-30.140741118152228,-22.37840483359877,-26.33409048135249,0.061858703912829466,0.0662888216606816
55,-26.645606545091557,-31.963918652516004,-27.739978673252,,-26.645606545091557,-31.963918652516004,-22.470019740930965,-26.347334629506893,0.06324125526834742,0.06752801761426444
56,-23.332995163418836,-28.21135236650937,-25.194423671642355,,-23.332995163418836,-28.21135236650937,-22.4791218971413,-26.357767989486973,0.06439663862771869,0.06876109320478754
57,-29.526770375476474,-26.643853589617418,-31.330868305109075,,-29.526770375476474,-26.643853589617418,-22.487238855290244,-26.37027398882053,0.06555006506542527,0.07000062569633228
58,-22.863081732534532,-33.12563876543064,-29.319100675853694,,-22.863081732534532,-33.12563876543064,-22.49583779411362,-26.456314155285003,0.06670573658663348,0.07143986691302132
59,-17.63725019812981,-22.523037779477715,-28.681965512660447,,-17.63725019812981,-22.523037779477715,-22.505703524809,-26.456314155285003,0.06786609246530306,0.07265071211493693
60,-29.769119397008996,-32.805826310611124,-29.154730291596785,,-29.769119397008996,-32.805826310611124,-22.505703524809,-26.478344066336568,0.06899719400639144,0.07392306110488098
61,-23.417435778759728,-32.13539550013449,-31.333169174985414,,-23.417435778759728,-32.13539550013449,-22.50833131534808,-26.539881288881734,0.07013648380390818,0.07530953250799835
62,-25.933921583941594,-34.64934822132623,-31.250239213907328,,-25.933921583941594,-34.64934822132623,-22.50833131534808,-26.623721645832052,0.07126771741364864,0.0767659448566772
63,-25.111576176635406,-35.08475551436155,-29.62541506877108,,-25.111576176635406,-35.08475551436155,-22.57113638154829,-26.643853589617418,0.07260096603943557,0.07804342108167345
64,-26.711240249459248,-37.869167,-26.262804175045055,,-26.711240249459248,-37.869167,-22.58855322603322,-26.730662587004833,0.07379225345652021,0.07952109778365457
65,-23.82424462862707,-27.27902406000663,-25.063242373278495,,-23.82424462862707,-27.27902406000663,-22.595610613699733,-26.737269012569463,0.07495092865156625,0.08076445511674378
66,-23.041717657253194,-23.432171066301,-26.290409306339402,,-23.041717657253194,-23.432171066301,-22.607276198387186,-26.74380722374221,0.07612583048623339,0.08200820799675994
67,-26.12939559499322,-27.89044874853823,-26.077052260533563,,-26.12939559499322,-27.89044874853823,-22.61974507906908,-26.791128424775412,0.07730465023248557,0.08337948438060697
68,-26.289493339513328,-29.658104118691064,-32.06192051396612,,-26.289493339513328,-29.658104118691064,-22.638356242016762,-26.820977289003,0.07850602371674369,0.08469991516814039
69,-26.938870740845037,-23.809864620903692,-24.06843265838301,,-26.938870740845037,-23.809864620903692,-22.646355376228332,-26.995851436285292,0.07967193385665615,0.0864877015519794
70,-25.223987392948214,-35.16924516783051,-30.082284710184418,,-25.223987392948214,-35.16924516783051,-22.654731679888545,-26.999486454490373,0.08083999391688025,0.08773505216698138
71,-24.536173934442793,1.1473727271245453,-27.294418023076613,,-24.536173934442793,-23.986927878086394,-22.667629988008045,-27.058392731259612,0.08202525929694009,0.08916486956149695
72,-23.13242712295435,-23.986927878086394,-26.730662587004833,,-23.13242712295435,-37.22311935605993,-22.775970930832788,-27.111481439112563,0.08356198742071329,0.09058064221654104
73,-23.13242712295435,-37.22311935605993,-25.517806630466737,,-23.13242712295435,-37.09625006224206,-22.78549246856033,-27.123112449304763,0.08474208396442548,0.09186086496911493
74,-25.220461783305517,-37.09625006224206,-31.625079167870506,,-25.220461783305517,-33.93581092590015,-22.819260839496003,-27.128981366777836,0.08601453318355264,0.09312237353249862
75,-27.81096939073878,-33.93581092590015,-31.52714406644699,,-27.81096939073878,-28.47590934825874,-22.82435538038162,-27.146979151114905,0.08718085294532668,0.0944266077149258
76,-27.886223141246283,-28.47590934825874,-30.00325238274077,,-27.886223141246283,-31.771954353780945,-22.830883662520854,-27.158918698027886,0.08835323322951182,0.09571113941009295
77,-26.711240249459248,-31.771954353780945,-29.339307073738517,,-26.711240249459248,-39.155859548241935,-22.84437143773043,-27.159835262982792,0.08955355203068548,0.09695741324955795
78,-26.446983800397792,-39.155859548241935,-32.62465918967312,,-26.446983800397792,-29.409735275356944,-22.84437143773043,-27.17652815034058,0.09070167449261733,0.09826081264650732
79,-27.054462312305713,-29.409735275356944,-30.46287495803634,,-27.054462312305713,-34.64044586901361,-22.863081732534532,-27.21948398263603,0.09192502497224278,0.09966189964495827
80,-27.60266226221147,-34.64044586901361,-30.288339127698574,,-27.60266226221147,-27.57631530348442,-22.915037553682776,-27.27902406000663,0.09328559648278711,0.10112839949557026
81,-25.41670396873985,-27.57631530348442,-29.325322575847032,,-25.41670396873985,-28.32300834657395,-22.963104413103302,-27.27984983980104,0.09463536327218701,0.1023799973676246
82,-23.794796928673506,-28.32300834657395,-29.332314824792775,,-23.794796928673506,-34.1029934376935,-22.970274310098684,-27.294418023076613,0.09581936193849652,0.1036838743822033
83,-24.53984864996345,-34.1029934376935,-35.20202372549707,,-24.53984864996345,-33.39058574760979,-23.002777611252835,-27.37990600172963,0.09711103155893329,0.10526173524348108
84,-27.375176609888047,-33.39058574760979,-35.85068161857291,,-27.375176609888047,-23.19511163571691,-23.03532456742176,-27.39986082935779,0.09840615480256376,0.10659248053263898
85,-25.889482332631662,-23.19511163571691,-34.66387417654853,,-25.889482332631662,-25.22793364297864,-23.041717657253194,-27.39986082935779,0.09959150664867204,0.10784650971537589
86,-27.68365166285402,-0.9022744661606015,-29.321535720246168,,-27.68365166285402,-29.105667378238845,-23.043146713121917,-27.404272916583672,0.10075579594792718,0.10911810691048364
87,-26.9186240984838,-25.22793364297864,-34.054696294574235,,-26.9186240984838,-22.895040519688518,-23.05055528309384,-27.404272916583672,0.10194667474367303,0.11037233802439725
88,-25.409862462588478,-29.105667378238845,-29.548885732443374,,-25.409862462588478,-34.94656978630428,-23.05055528309384,-27.457388449869086,0.10310515968394203,0.11184292608259652
89,-2.725746656964657,-22.895040519688518,-30.895082814937677,,-27.80593316367081,-36.277607439882885,-23.064496949176107,-27.470628009931268,0.10432670639864636,0.11315412317747366
90,-27.80593316367081,-34.94656978630428,-30.895082814937677,,-24.53984864996345,-32.881422296851184,-23.066147941059512,-27.48269585687714,0.10549344286639942,0.11446165213719318
91,-24.53984864996345,-36.277607439882885,-30.124239287232157,,-26.506262362399994,-32.81731619079894,-23.07515802207126,-27.50655087780112,0.10669437206965411,0.11581991716477066
92,-26.506262362399994,-32.881422296851184,-29.28239394446489,,-25.619797920152966,-32.67719467994071,-23.096093369498274,-27.5690640484199,0.10795194604933661,0.1173449102449084
93,-25.619797920152966,-32.81731619079894,-27.576782247758363,,-23.443848672445142,-34.14477671863903,-23.125050638538408,-27.57631530348442,0.1092495222955112,0.11863787957462729
94,-23.443848672445142,-32.67719467994071,-35.4529738864852,,-24.610528034868917,-33.08884263686315,-23.13242712295435,-27.576782247758363,0.11044697066276198,0.11990201491912893
95,-24.610528034868917,-34.14477671863903,-30.816706244694245,,-23.955006001435002,-33.08884263686315,-23.13242712295435,-27.586839214365522,0.11160957035394894,0.12120832869826235
96,-23.955006001435002,-33.08884263686315,-34.892065573158526,,-23.066147941059512,-27.123112449304763,-23.1562824720916,-27.648362971860017,0.11288846650962246,0.12274404826513635
97,-23.066147941059512,-33.08884263686315,-33.894681862275206,,-25.22920299259602,-29.880971520401445,-23.248554548077944,-27.648680909184375,0.11450673528802237,0.12401087684870933
98,-25.22920299259602,-27.123112449304763,-33.07122541278685,,-28.012071151292307,-33.952382571880015,-23.263391608815997,-27.667507750552236,0.1157489944269525,0.12536159845987738
99,-28.012071151292307,-29.880971520401445,-32.982089024829754,,-26.742250161241454,-28.50050714480829,-23.279927300439983,-27.673554939448433,0.11700128199470133,0.1266555538375536
100,-26.742250161241454,-33.952382571880015,-32.48926959169499,,-26.187732109569115,-27.667507750552236,-23.332995163418836,-27.696572474882952,0.11844067272121676,0.12802850884979008
101,-26.187732109569115,-28.50050714480829,-28.758016304803917,,-23.569748916240357,-36.0036832628403,-23.339163373552967,-27.704121549156522,0.11964497312002445,0.12933135924858102
102,-23.569748916240357,-27.667507750552236,-33.24452917230824,,-26.050298173598517,-29.69777608049431,-23.339163373552967,-27.73586692120214,0.1208179630525737,0.13074896382371837
103,-26.050298173598517,-36.0036832628403,-30.185007925878626,,-25.9215721017367,-31.524612530671057,-23.339163373552967,-27.739978673252,0.12199095298512297,0.13203794253358012
104,-25.9215721017367,-29.69777608049431,-27.470628009931268,,-22.33437120048919,-30.163925087514,-23.398315956659957,-27.774230753004247,0.12347609915277866,0.1334721402955783
105,-22.33437120048919,-31.524612530671057,-30.23261976393782,,-23.955006001435002,-31.79463867072334,-23.401729615607692,-27.79993788055034,0.12467024791008623,0.13486801854014782
106,-23.955006001435002,-30.163925087514,-33.183424056356955,,-27.712698013409998,-33.90352835383444,-23.417435778759728,-27.81206362999937,0.12593084462029705,0.13619973990474152
107,-27.712698013409998,-31.79463867072334,-30.681033781284782,,-25.22920299259602,-29.231124216498213,-23.417435778759728,-27.81736470987029,0.12710776840179513,0.13749883745135014
108,-25.22920299259602,-33.90352835383444,-26.37027398882053,,-26.603936843495852,-28.551923373351627,-23.443848672445142,-27.862042811683374,0.12842938650286417,0.13899485965854724
109,-26.603936843495852,-29.231124216498213,-31.245956891369467,,-24.05530550823742,-28.2343114141531,-23.460840327020673,-27.862042811683374,0.12970157490014073,0.1402700418572495
110,-24.05530550823742,-28.551923373351627,-33.650678498533544,,-25.14761444108333,-28.641106448937098,-23.512763300400884,-27.89044874853823,0.1311703421324469,0.141689532379782
111,-25.14761444108333,-28.2343114141531,-29.62116142163074,,-28.058616182331274,-31.758067677310642,-23.540291597586794,-27.89333957513706,0.1325070122036876,0.1429808329865029
112,-28.058616182331274,-28.641106448937098,-32.3991027389699,,-24.040659564992257,-26.995851436285292,-23.540291597586794,-27.917996074530596,0.1336901105269348,0.1443849648781343
113,-24.040659564992257,-31.758067677310642,-30.441224638747446,,-25.480501039743118,-26.623721645832052,-23.569748916240357,-27.917996074530596,0.13504198344137425,0.1456627079301532
114,-25.480501039743118,-26.995851436285292,-23.494463533765998,,-26.42814931841458,-26.295392665734973,-23.601972020140977,-27.961336810773194,0.13641280277939186,0.1471685657548938
115,-26.42814931841458,-26.623721645832052,-30.90219025967665,,-22.20237361925571,-32.27217856326381,-23.609081166567826,-28.02696745219981,0.13764044723875485,0.14879672913951977
116,-22.20237361925571,-26.295392665734973,-29.254283919116006,,-22.82435538038162,-35.4249091171293,-23.635005512506936,-28.09160287566376,0.1389794441277989,0.15042557083752406
117,-22.82435538038162,-32.27217856326381,-30.970706419320436,,-29.06620992354523,-30.40317658969001,-23.736878891778794,-28.102019703632465,0.14077146227984752,0.151767516505209
118,-29.06620992354523,-35.4249091171293,-23.451941668767795,,-24.66567280424598,-27.673554939448433,-23.74328032012272,-28.191716862499167,0.1420027261439123,0.15354220480853673
119,-24.66567280424598,-30.40317658969001,-30.752509055653086,,-26.72653933220775,-31.230603786758145,-23.750326845618027,-28.191716862499167,0.14323852404872214,0.1548324754371799
